,datachange_notifications,period,queuesize,change_int
617,12482400,10.0,1.0,10.0
618,12128000,10.0,1.0,10.0
619,13762200,10.0,1.0,10.0
620,13379200,10.0,1.0,10.0
621,15597000,10.0,1.0,10.0
622,11651300,10.0,1.0,10.0
623,13362700,10.0,1.0,10.0
624,12467300,10.0,1.0,10.0
625,13360800,10.0,1.0,10.0
626,14329300,10.0,1.0,10.0
627,12354200,10.0,1.0,10.0
628,12424800,10.0,1.0,10.0
629,13202400,10.0,1.0,10.0
630,13225900,10.0,1.0,10.0
631,12084900,10.0,1.0,10.0
632,11995700,10.0,1.0,10.0
633,12868300,10.0,1.0,10.0
634,14326100,10.0,1.0,10.0
635,11902200,10.0,1.0,10.0
636,12650800,10.0,1.0,10.0
637,12967200,10.0,1.0,10.0
638,12576700,10.0,1.0,10.0
639,13721300,10.0,1.0,10.0
640,12100800,10.0,1.0,10.0
641,13229200,10.0,1.0,10.0
642,12088900,10.0,1.0,10.0
643,13589500,10.0,1.0,10.0
644,12506800,10.0,1.0,10.0
645,12125600,10.0,1.0,10.0
646,13000000,10.0,1.0,10.0
647,13004900,10.0,1.0,10.0
648,13325000,10.0,1.0,10.0
649,12606600,10.0,1.0,10.0
650,13284400,10.0,1.0,10.0
651,12884400,10.0,1.0,10.0
652,13936200,10.0,1.0,10.0
653,12158700,10.0,1.0,10.0
654,12292500,10.0,1.0,10.0
655,11803400,10.0,1.0,10.0
656,14444900,10.0,1.0,10.0
657,11096100,10.0,1.0,10.0
658,13671700,10.0,1.0,10.0
659,12198900,10.0,1.0,10.0
660,13281600,10.0,1.0,10.0
661,12129500,10.0,1.0,10.0
662,13370000,10.0,1.0,10.0
663,11222000,10.0,1.0,10.0
664,13414700,10.0,1.0,10.0
665,12325000,10.0,1.0,10.0
666,12408700,10.0,1.0,10.0
667,12890800,10.0,1.0,10.0
668,12865300,10.0,1.0,10.0
669,13155600,10.0,1.0,10.0
670,11915900,10.0,1.0,10.0
671,13071400,10.0,1.0,10.0
672,13002300,10.0,1.0,10.0
673,14244900,10.0,1.0,10.0
674,11453500,10.0,1.0,10.0
675,13490200,10.0,1.0,10.0
676,12116600,10.0,1.0,10.0
677,13746700,10.0,1.0,10.0
678,12416500,10.0,1.0,10.0
679,13255700,10.0,1.0,10.0
680,12084300,10.0,1.0,10.0
681,12725000,10.0,1.0,10.0
682,14874400,10.0,1.0,10.0
683,12902900,10.0,1.0,10.0
684,12823300,10.0,1.0,10.0
685,13844300,10.0,1.0,10.0
686,13554800,10.0,1.0,10.0
687,14476800,10.0,1.0,10.0
688,12599600,10.0,1.0,10.0
689,13774800,10.0,1.0,10.0
690,12386700,10.0,1.0,10.0
691,12081300,10.0,1.0,10.0
692,14820100,10.0,1.0,10.0
693,10511500,10.0,1.0,10.0
694,13303800,10.0,1.0,10.0
695,12779300,10.0,1.0,10.0
696,14066100,10.0,1.0,10.0
697,12841600,10.0,1.0,10.0
698,11188300,10.0,1.0,10.0
699,12854600,10.0,1.0,10.0
700,13472900,10.0,1.0,10.0
701,12422200,10.0,1.0,10.0
702,11989200,10.0,1.0,10.0
703,13659700,10.0,1.0,10.0
704,12581600,10.0,1.0,10.0
705,12019400,10.0,1.0,10.0
706,12303800,10.0,1.0,10.0
707,12974800,10.0,1.0,10.0
708,12905000,10.0,1.0,10.0
709,14543000,10.0,1.0,10.0
710,11663800,10.0,1.0,10.0
711,11909600,10.0,1.0,10.0
712,12889800,10.0,1.0,10.0
713,14187400,10.0,1.0,10.0
714,11662200,10.0,1.0,10.0
715,12270200,10.0,1.0,10.0
716,13074300,10.0,1.0,10.0
717,14110300,10.0,1.0,10.0
718,11772400,10.0,1.0,10.0
719,13273900,10.0,1.0,10.0
720,12379900,10.0,1.0,10.0
721,28022500,10.0,1.0,10.0
722,7206800,10.0,1.0,10.0
723,7078700,10.0,1.0,10.0
724,8330100,10.0,1.0,10.0
725,12326100,10.0,1.0,10.0
726,12198300,10.0,1.0,10.0
727,12392900,10.0,1.0,10.0
728,11837300,10.0,1.0,10.0
729,13563300,10.0,1.0,10.0
730,12357000,10.0,1.0,10.0
731,12431000,10.0,1.0,10.0
732,11954200,10.0,1.0,10.0
733,13695300,10.0,1.0,10.0
734,11927700,10.0,1.0,10.0
735,13505400,10.0,1.0,10.0
736,12708600,10.0,1.0,10.0
737,12870100,10.0,1.0,10.0
738,14222600,10.0,1.0,10.0
739,11207000,10.0,1.0,10.0
740,12820500,10.0,1.0,10.0
741,11706100,10.0,1.0,10.0
742,13873000,10.0,1.0,10.0
743,11496000,10.0,1.0,10.0
744,11920100,10.0,1.0,10.0
745,13327200,10.0,1.0,10.0
746,15258300,10.0,1.0,10.0
747,11609300,10.0,1.0,10.0
748,14092300,10.0,1.0,10.0
749,12999200,10.0,1.0,10.0
750,12273700,10.0,1.0,10.0
