,datachange_notifications,period,queuesize,change_int
537,17259500,10.0,1.0,10.0
538,16058600,10.0,1.0,10.0
539,16671700,10.0,1.0,10.0
540,11176800,10.0,1.0,10.0
541,12608900,10.0,1.0,10.0
542,10972800,10.0,1.0,10.0
543,11253500,10.0,1.0,10.0
544,12269400,10.0,1.0,10.0
545,14618200,10.0,1.0,10.0
546,11547500,10.0,1.0,10.0
547,12415600,10.0,1.0,10.0
548,17439700,10.0,1.0,10.0
549,11653300,10.0,1.0,10.0
550,11166400,10.0,1.0,10.0
551,11896000,10.0,1.0,10.0
552,11580600,10.0,1.0,10.0
553,12097900,10.0,1.0,10.0
554,15869600,10.0,1.0,10.0
555,12987700,10.0,1.0,10.0
556,11117800,10.0,1.0,10.0
557,12132600,10.0,1.0,10.0
558,11961600,10.0,1.0,10.0
559,14794600,10.0,1.0,10.0
560,12539800,10.0,1.0,10.0
561,14477500,10.0,1.0,10.0
562,12079400,10.0,1.0,10.0
563,11142700,10.0,1.0,10.0
564,12045600,10.0,1.0,10.0
565,11359500,10.0,1.0,10.0
566,9807100,10.0,1.0,10.0
567,11655900,10.0,1.0,10.0
568,11287700,10.0,1.0,10.0
569,13019800,10.0,1.0,10.0
570,12580500,10.0,1.0,10.0
571,10998700,10.0,1.0,10.0
572,15494600,10.0,1.0,10.0
573,12681000,10.0,1.0,10.0
574,12074700,10.0,1.0,10.0
575,13041700,10.0,1.0,10.0
576,15391800,10.0,1.0,10.0
577,12964700,10.0,1.0,10.0
578,15611700,10.0,1.0,10.0
579,12406400,10.0,1.0,10.0
580,14277400,10.0,1.0,10.0
581,11385100,10.0,1.0,10.0
582,11740600,10.0,1.0,10.0
583,10960300,10.0,1.0,10.0
584,13537700,10.0,1.0,10.0
585,11211300,10.0,1.0,10.0
586,11045300,10.0,1.0,10.0
587,12495300,10.0,1.0,10.0
588,12702600,10.0,1.0,10.0
589,12049100,10.0,1.0,10.0
590,11868800,10.0,1.0,10.0
591,12633700,10.0,1.0,10.0
592,17121500,10.0,1.0,10.0
593,10815300,10.0,1.0,10.0
594,11380700,10.0,1.0,10.0
595,13453700,10.0,1.0,10.0
596,14906700,10.0,1.0,10.0
597,13684500,10.0,1.0,10.0
598,11951800,10.0,1.0,10.0
599,11513800,10.0,1.0,10.0
600,13357000,10.0,1.0,10.0
601,13779800,10.0,1.0,10.0
602,14519600,10.0,1.0,10.0
603,11773300,10.0,1.0,10.0
604,21919900,10.0,1.0,10.0
605,12241900,10.0,1.0,10.0
606,11416800,10.0,1.0,10.0
607,11056900,10.0,1.0,10.0
608,12479900,10.0,1.0,10.0
609,15098800,10.0,1.0,10.0
610,11657800,10.0,1.0,10.0
611,14415000,10.0,1.0,10.0
612,12147000,10.0,1.0,10.0
613,11847900,10.0,1.0,10.0
614,12616200,10.0,1.0,10.0
615,17893000,10.0,1.0,10.0
616,14566100,10.0,1.0,10.0
617,15287900,10.0,1.0,10.0
618,10790100,10.0,1.0,10.0
619,20104200,10.0,1.0,10.0
620,11960300,10.0,1.0,10.0
621,10815600,10.0,1.0,10.0
622,12567700,10.0,1.0,10.0
623,11838600,10.0,1.0,10.0
624,11501700,10.0,1.0,10.0
625,15426700,10.0,1.0,10.0
626,11428000,10.0,1.0,10.0
627,19046900,10.0,1.0,10.0
628,13639300,10.0,1.0,10.0
629,12362500,10.0,1.0,10.0
630,20559400,10.0,1.0,10.0
631,10956500,10.0,1.0,10.0
632,12227400,10.0,1.0,10.0
633,18862800,10.0,1.0,10.0
634,14507100,10.0,1.0,10.0
635,12706000,10.0,1.0,10.0
636,14824400,10.0,1.0,10.0
637,15360000,10.0,1.0,10.0
638,12495400,10.0,1.0,10.0
639,14961400,10.0,1.0,10.0
640,12957700,10.0,1.0,10.0
641,11871700,10.0,1.0,10.0
642,11118100,10.0,1.0,10.0
643,11664900,10.0,1.0,10.0
644,12861600,10.0,1.0,10.0
645,12857200,10.0,1.0,10.0
646,10452700,10.0,1.0,10.0
647,10423100,10.0,1.0,10.0
648,12209000,10.0,1.0,10.0
649,11297900,10.0,1.0,10.0
650,11093300,10.0,1.0,10.0
651,11238400,10.0,1.0,10.0
652,10426100,10.0,1.0,10.0
653,10264700,10.0,1.0,10.0
654,12690500,10.0,1.0,10.0
655,12081000,10.0,1.0,10.0
656,11784000,10.0,1.0,10.0
657,10690500,10.0,1.0,10.0
658,16743700,10.0,1.0,10.0
659,12027900,10.0,1.0,10.0
660,12442700,10.0,1.0,10.0
661,11692000,10.0,1.0,10.0
662,12408300,10.0,1.0,10.0
663,13322300,10.0,1.0,10.0
664,13246100,10.0,1.0,10.0
665,11211900,10.0,1.0,10.0
666,12979900,10.0,1.0,10.0
667,10563600,10.0,1.0,10.0
668,10926200,10.0,1.0,10.0
669,12434700,10.0,1.0,10.0
670,11376400,10.0,1.0,10.0
671,10111000,10.0,1.0,10.0
672,13688100,10.0,1.0,10.0
673,15419900,10.0,1.0,10.0
674,12301500,10.0,1.0,10.0
675,14721400,10.0,1.0,10.0
676,12325700,10.0,1.0,10.0
677,10459600,10.0,1.0,10.0
678,10765900,10.0,1.0,10.0
679,10557100,10.0,1.0,10.0
680,17105600,10.0,1.0,10.0
681,13584100,10.0,1.0,10.0
682,13274000,10.0,1.0,10.0
683,16838300,10.0,1.0,10.0
684,15342700,10.0,1.0,10.0
685,13898800,10.0,1.0,10.0
686,12505300,10.0,1.0,10.0
687,14516500,10.0,1.0,10.0
688,13987300,10.0,1.0,10.0
689,12628200,10.0,1.0,10.0
690,17599400,10.0,1.0,10.0
691,11537000,10.0,1.0,10.0
692,12300400,10.0,1.0,10.0
693,11769700,10.0,1.0,10.0
694,18607000,10.0,1.0,10.0
695,13142900,10.0,1.0,10.0
696,14540100,10.0,1.0,10.0
697,20878000,10.0,1.0,10.0
698,18947700,10.0,1.0,10.0
699,14134000,10.0,1.0,10.0
700,13581200,10.0,1.0,10.0
701,15435100,10.0,1.0,10.0
702,11701800,10.0,1.0,10.0
703,11779100,10.0,1.0,10.0
704,17650800,10.0,1.0,10.0
705,13454100,10.0,1.0,10.0
706,14147900,10.0,1.0,10.0
707,11551600,10.0,1.0,10.0
708,12479600,10.0,1.0,10.0
709,12495200,10.0,1.0,10.0
710,13881700,10.0,1.0,10.0
711,16720600,10.0,1.0,10.0
712,15043400,10.0,1.0,10.0
713,10762000,10.0,1.0,10.0
714,12501100,10.0,1.0,10.0
715,11930700,10.0,1.0,10.0
716,14451900,10.0,1.0,10.0
717,13609700,10.0,1.0,10.0
718,12863800,10.0,1.0,10.0
719,14334500,10.0,1.0,10.0
720,11343600,10.0,1.0,10.0
721,11313000,10.0,1.0,10.0
722,11873300,10.0,1.0,10.0
723,13597100,10.0,1.0,10.0
724,16385900,10.0,1.0,10.0
725,13306500,10.0,1.0,10.0
726,19076500,10.0,1.0,10.0
727,12237100,10.0,1.0,10.0
728,12638900,10.0,1.0,10.0
729,12986200,10.0,1.0,10.0
730,11891400,10.0,1.0,10.0
731,12073700,10.0,1.0,10.0
732,12995300,10.0,1.0,10.0
733,11496100,10.0,1.0,10.0
734,13498500,10.0,1.0,10.0
735,11661900,10.0,1.0,10.0
736,10487600,10.0,1.0,10.0
737,11867600,10.0,1.0,10.0
738,16022900,10.0,1.0,10.0
739,13903300,10.0,1.0,10.0
740,16065200,10.0,1.0,10.0
741,12352000,10.0,1.0,10.0
742,14176700,10.0,1.0,10.0
743,11674400,10.0,1.0,10.0
744,12825500,10.0,1.0,10.0
745,12449300,10.0,1.0,10.0
746,13122100,10.0,1.0,10.0
747,14146800,10.0,1.0,10.0
748,13671700,10.0,1.0,10.0
749,12668600,10.0,1.0,10.0
750,17840700,10.0,1.0,10.0
751,11342000,10.0,1.0,10.0
752,11058300,10.0,1.0,10.0
753,11273500,10.0,1.0,10.0
754,10812400,10.0,1.0,10.0
755,17467900,10.0,1.0,10.0
756,15143000,10.0,1.0,10.0
757,23276000,10.0,1.0,10.0
758,12299500,10.0,1.0,10.0
759,12935700,10.0,1.0,10.0
760,12168100,10.0,1.0,10.0
761,15440500,10.0,1.0,10.0
762,13057200,10.0,1.0,10.0
763,15229600,10.0,1.0,10.0
764,16424800,10.0,1.0,10.0
765,12322400,10.0,1.0,10.0
766,11077300,10.0,1.0,10.0
767,12162500,10.0,1.0,10.0
768,11945600,10.0,1.0,10.0
769,11817500,10.0,1.0,10.0
770,11253300,10.0,1.0,10.0
771,11710100,10.0,1.0,10.0
772,11039600,10.0,1.0,10.0
