,write_value,delay
467,12683800.0,0.0
468,10364600.0,0.0
469,14816700.0,0.0
470,10455700.0,0.0
471,13035300.0,0.0
472,10502600.0,0.0
473,19213700.0,0.0
474,11251500.0,0.0
475,13305000.0,0.0
476,16974700.0,0.0
477,16110600.0,0.0
478,25712000.0,0.0
479,17075900.0,0.0
480,12864000.0,0.0
481,12696200.0,0.0
482,13449100.0,0.0
483,14703300.0,0.0
484,15438800.0,0.0
485,16345700.0,0.0
486,17175200.0,0.0
487,13293700.0,0.0
488,13293200.0,0.0
489,11625100.0,0.0
490,13006200.0,0.0
491,16597300.0,0.0
492,11282600.0,0.0
493,12442800.0,0.0
494,13576200.0,0.0
495,12066500.0,0.0
496,11076200.0,0.0
497,10680300.0,0.0
498,21138000.0,0.0
499,10555300.0,0.0
500,12522000.0,0.0
501,10685300.0,0.0
502,13014200.0,0.0
503,10682900.0,0.0
504,10674900.0,0.0
505,12762200.0,0.0
506,21178000.0,0.0
507,10898500.0,0.0
508,14867000.0,0.0
509,10875300.0,0.0
510,17773800.0,0.0
511,14677700.0,0.0
512,14942200.0,0.0
513,12196600.0,0.0
514,17163500.0,0.0
515,16068600.0,0.0
516,19051100.0,0.0
517,14300300.0,0.0
518,12615700.0,0.0
519,12654400.0,0.0
520,10488400.0,0.0
521,10920200.0,0.0
522,14987900.0,0.0
523,12536100.0,0.0
524,12686000.0,0.0
525,11611800.0,0.0
526,12436400.0,0.0
527,11724700.0,0.0
528,11498600.0,0.0
529,12027000.0,0.0
530,14459400.0,0.0
531,11754700.0,0.0
532,18840600.0,0.0
533,13852100.0,0.0
534,12770100.0,0.0
535,12527400.0,0.0
536,12793800.0,0.0
537,12226600.0,0.0
538,13702100.0,0.0
539,11943600.0,0.0
540,11643400.0,0.0
541,9328100.0,0.0
542,10920400.0,0.0
543,10935900.0,0.0
544,12755300.0,0.0
545,14327000.0,0.0
546,11171300.0,0.0
547,12486100.0,0.0
548,10938300.0,0.0
549,12290000.0,0.0
550,10997300.0,0.0
551,10785800.0,0.0
552,10904400.0,0.0
553,10594200.0,0.0
554,12653600.0,0.0
555,13551000.0,0.0
556,9475100.0,0.0
